,station,netbeheerder,status,totale_capaciteit_invoeding_mva,totale_capaciteit_afname_mva,beschikbare_capaciteit_invoeding_huidig_mva,beschikbare_capaciteit_afname_huidig_mva,verwacht_jaar_van_overbelasting_invoeding,verwacht_jaar_van_overbelasting_afname,investeringsplanning_vermogen_invoeding,investeringsplanning_vermogen_afname,investeringsplanning_tijd_invoeding,investeringsplanning_tijd_afname,beschikbare_capaciteit_invoeding_3_jaar_mva,beschikbare_capaciteit_afname_3_jaar_mva,beschikbare_capaciteit_invoeding_5_jaar_mva,beschikbare_capaciteit_afname_5_jaar_mva,beschikbare_capaciteit_invoeding_10_jaar_mva,beschikbare_capaciteit_afname_10_jaar_mva,peildatum,beschikbare_capaciteit_afname_3_jaar_mva_visualisatie,beschikbare_capaciteit_afname_5_jaar_mva_visualisatie,beschikbare_capaciteit_afname_10_jaar_mva_visualisatie,beschikbare_capaciteit_afname_huidig_mva_visualisatie,beschikbare_capaciteit_invoeding_3_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_5_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_10_jaar_mva_visualisatie,beschikbare_capaciteit_invoeding_huidig_mva_visualisatie,geometry
0,Aarle-Rixtel,Enexis,Bestaand,55.0,75.0,0.0,0.0,2023,2023,32,0,2026,>2035,0,0,32,0,32,0,2023/02/01,0,0,0,0,0,32,32,0,(5.671088774486666 51.51036164155714)
1,Almelo Mosterdpot,Enexis,Bestaand,78.0,58.0,0.0,1.0,2023,2034,22,24,2030,2026,0,1,0,25,22,25,2023/02/01,1,25,25,1,0,0,22,0,(6.629699819829113 52.35671949826364)
2,Almelo Urenco,Enexis,Bestaand,25.0,41.0,0.0,1.0,2023,2026,29,9,2030,2026,0,1,0,10,29,10,2023/02/01,1,10,10,1,0,0,29,0,(6.6885443075552065 52.332023493683494)
3,Bargermeer,Enexis,Bestaand,40.0,50.0,0.0,0.0,2023,2032,60,32,2030,2026,0,0,0,32,60,32,2023/02/01,0,32,32,0,0,0,60,0,(6.926456146805823 52.76214604360774)
4,Beek,Enexis,Bestaand,41.0,37.0,0.0,0.0,2023,2023,0,12,>2035,2028,0,0,0,0,0,12,2023/02/01,0,0,12,0,0,0,0,0,(5.806745158622074 50.94350412469053)
5,Beilen,Enexis,Bestaand,55.0,41.0,0.0,0.0,2023,2026,146,9,2030,2024,0,9,0,9,146,134,2023/02/01,9,9,134,0,0,0,146,0,(6.517555239007117 52.88794723434003)
6,Belfeld,Enexis,Bestaand,60.0,38.0,0.0,0.0,2023,2023,6,11,2028,2028,0,0,0,0,6,11,2023/02/01,0,0,11,0,0,0,6,0,(6.1212738128153195 51.323098798269214)
7,Bergen op Zoom,Enexis,Bestaand,113.0,85.0,0.0,0.0,2023,2023,0,3,>2035,2026,0,0,0,3,0,3,2023/02/01,0,3,3,0,0,0,0,0,(4.271155646491687 51.50510050686766)
8,Best,Enexis,Bestaand,85.0,82.0,0.0,0.0,2023,2023,95,13,2026,2026,0,0,95,13,95,13,2023/02/01,0,13,13,0,0,95,95,0,(5.413245724225265 51.48815046604147)
9,Biesbosch,Enexis,Bestaand,13.0,20.0,0.0,0.0,2023,2023,0,0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(4.7919129049395055 51.767684109444055)
10,Blerick,Enexis,Bestaand,50.0,87.0,0.0,0.0,2023,2023,0,19,>2035,2028,0,0,0,0,0,19,2023/02/01,0,0,19,0,0,0,0,0,(6.158732126146783 51.37596031549207)
11,Boekend,Enexis,Bestaand,150.0,38.0,0.0,0.0,2023,2023,59,13,2028,2028,0,0,0,0,59,13,2023/02/01,0,0,13,0,0,0,59,0,(6.113811007165699 51.390386116975726)
12,Born,Enexis,Bestaand,65.0,71.0,0.0,0.0,2023,2023,0,2,>2035,2028,0,0,0,0,0,2,2023/02/01,0,0,2,0,0,0,0,0,(5.831000236204521 51.048698904814984)
13,Boschpoort,Enexis,Bestaand,45.0,45.0,0.0,0.0,2023,>2035,0,0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(5.6952971775578325 50.86171463962924)
15,Boxtel,Enexis,Bestaand,30.0,36.0,0.0,0.0,2023,2023,20,46,2026,2026,0,0,20,46,20,46,2023/02/01,0,46,46,0,0,20,20,0,(5.321229389765945 51.5758884324717)
16,Breda,Enexis,Bestaand,61.0,130.0,0.0,0.0,2023,2023,0,26,>2035,2026,0,0,0,26,0,26,2023/02/01,0,26,26,0,0,0,0,0,(4.775101280662528 51.608130775205005)
17,Buggenum,Enexis,Bestaand,50.0,55.0,0.0,0.0,2023,2023,0,21,>2035,2028,0,0,0,0,0,21,2023/02/01,0,0,21,0,0,0,0,0,(5.968151677076707 51.22332917160488)
18,Californie,Enexis,Bestaand,35.0,7.0,0.0,0.0,2023,2023,58,68,2028,2028,0,0,0,0,58,68,2023/02/01,0,0,68,0,0,0,58,0,(6.10316708735414 51.4226117971755)
19,Coevorden,Enexis,Bestaand,184.0,59.0,0.0,0.0,2033,>2035,0,41,>2035,2030,0,0,0,0,0,41,2023/02/01,0,0,41,0,0,0,0,0,(6.71118162518469 52.658963775792536)
20,Cuijk,Enexis,Bestaand,35.0,33.0,0.0,0.0,2023,2023,0,2,>2035,2028,0,0,0,0,0,2,2023/02/01,0,0,2,0,0,0,0,0,(5.844545098383899 51.74027034048771)
21,Dedemsvaart,Enexis,Bestaand,35.0,18.0,0.0,0.0,2023,2028,65,12,2030,2030,0,0,0,0,65,12,2023/02/01,0,0,12,0,0,0,65,0,(6.491109575047468 52.603945519458776)
22,Deventer Bergweide,Enexis,Bestaand,45.0,50.0,0.0,1.0,2023,2027,25,11,2030,2026,0,1,0,12,25,31,2023/02/01,1,12,31,1,0,0,25,0,(6.188355174439002 52.24300796603579)
23,Deventer Platvoet,Enexis,Bestaand,1.0,40.0,0.0,2.0,2023,2035,59,10,2030,2030,0,2,0,2,59,12,2023/02/01,2,2,12,2,0,0,59,0,(6.135186853379174 52.27700724630873)
24,Dinteloord,Enexis,Bestaand,144.0,49.0,0.0,0.0,2023,2023,0,27,>2035,2026,0,0,0,27,0,27,2023/02/01,0,27,27,0,0,0,0,0,(4.395855823761049 51.62149194156628)
25,Eemshaven Midden,Enexis,Bestaand,200.0,134.0,0.0,112.0,>2035,>2035,0,0,>2035,>2035,0,112,0,112,0,112,2023/02/01,112,112,112,112,0,0,0,0,(6.794526890820904 53.44890949610338)
26,Eemshaven Oost,Enexis,Bestaand,155.0,99.0,0.0,59.0,>2035,>2035,0,0,>2035,>2035,0,59,0,59,0,59,2023/02/01,59,59,59,59,0,0,0,0,(6.8699091636284 53.430092482153285)
27,Eerde,Enexis,Bestaand,130.0,125.0,0.0,0.0,2023,2023,70,27,2026,2026,0,0,70,27,70,27,2023/02/01,0,27,27,0,0,70,70,0,(5.489271444050359 51.60593725870719)
28,Eindhoven Noord,Enexis,Bestaand,65.0,97.0,0.0,0.0,2023,2023,45,15,2026,2026,0,0,45,15,45,15,2023/02/01,0,15,15,0,0,45,45,0,(5.444614679180128 51.46106123624126)
29,Eindhoven Oost,Enexis,Bestaand,122.0,156.0,0.0,0.0,2023,2023,128,31,2028,2026,0,0,0,31,128,94,2023/02/01,0,31,94,0,0,0,128,0,(5.529783821649462 51.44732351997319)
30,Eindhoven West,Enexis,Bestaand,32.0,79.0,0.0,0.0,2023,2023,137,11,2028,2026,0,0,0,11,137,11,2023/02/01,0,11,11,0,0,0,137,0,(5.433061583200983 51.42712088180973)
31,Eindhoven Zuid,Enexis,Bestaand,36.0,92.0,0.0,0.0,2023,2023,0,35,>2035,2026,0,0,0,35,0,35,2023/02/01,0,35,35,0,0,0,0,0,(5.46550218444846 51.40964109754721)
32,Emmen Weerdinge,Enexis,Bestaand,30.0,40.0,0.0,0.0,2023,2034,0,0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(6.909229425427687 52.80768123990122)
33,Enschede Marssteden,Enexis,Bestaand,16.0,35.0,0.0,5.0,>2035,2028,0,2,>2035,2029,0,5,0,5,0,7,2023/02/01,5,5,7,5,0,0,0,0,(6.830000339471162 52.21361033085459)
34,Enschede van Heekstraat,Enexis,Bestaand,0.0,49.0,0.0,2.0,>2035,>2035,20,0,2030,>2035,0,2,0,2,20,2,2023/02/01,2,2,2,2,0,0,20,0,(6.866743316800172 52.2272545630108)
35,Enschede Vechtstraat,Enexis,Bestaand,4.0,37.0,0.0,1.0,>2035,2034,0,0,>2035,>2035,0,1,0,1,0,1,2023/02/01,1,1,1,1,0,0,0,0,(6.903699673429544 52.23649159523294)
36,Enschede Wesselerbrink,Enexis,Bestaand,66.0,43.0,0.0,10.0,2025,2034,0,0,>2035,>2035,0,10,0,10,0,10,2023/02/01,10,10,10,10,0,0,0,0,(6.8897092634166555 52.1978721881474)
37,Etten,Enexis,Bestaand,122.0,102.0,0.0,0.0,2023,2023,0,0,>2035,>2035,0,0,0,0,0,0,2023/02/01,0,0,0,0,0,0,0,0,(4.607818690384211 51.573229228127765)
38,Gasselte Kraanlanden,Enexis,Bestaand,87.0,57.0,0.0,18.0,2023,>2035,127,63,2030,2030,0,18,0,18,127,81,2023/02/01,18,18,81,18,0,0,127,0,(6.822517036957034 52.985810367039996)
39,Geertruidenberg,Enexis,Bestaand,119.0,79.0,0.0,0.0,2023,2023,0,7,>2035,2026,0,0,0,7,0,7,2023/02/01,0,7,7,0,0,0,0,0,(4.844032106102939 51.693956407466594)
40,Gennep,Enexis,Bestaand,15.0,37.0,0.0,0.0,2023,2023,20,7,2028,2028,0,0,0,0,20,52,2023/02/01,0,0,52,0,0,0,20,0,(5.968023057593631 51.69333105159339)
41,Goor,Enexis,Bestaand,81.0,39.0,0.0,1.0,2025,2026,48,11,2023,2023,48,12,48,16,48,16,2023/02/01,12,16,16,1,48,48,48,0,(6.590751215230203 52.25055989715931)
43,Groningen Bloemsingel,Enexis,Bestaand,18.0,34.0,0.0,5.0,2026,2032,0,53,>2035,2030,0,5,0,5,0,61,2023/02/01,5,5,61,5,0,0,0,0,(6.564554550922929 53.22637475779181)
44,Groningen Bornholmstraat,Enexis,Bestaand,59.0,67.0,0.0,3.0,2025,>2035,0,37,>2035,2030,0,3,0,3,0,40,2023/02/01,3,3,40,3,0,0,0,0,(6.594478673838062 53.20971799537289)
